,skblid,description,detail,occupationtype,from,place
666,SelmaGiobel,Företagare,"Innehavare, företaget SKU S Giöbel, fr o m 1907 även textil- och vävskola",Yrke,"{'comment': '1898', 'date': '1898'}",
667,ElisabethGlantzberg,Lärare,"Lärare, vävkurser, drev även vandrarhem",Yrke,"{'comment': '1935', 'date': '1935'}","{'pin': {'lat': 61.2298989, 'lon': 14.0373946}, 'place': 'Älvdalen'}"
668,BeatriceGlase,Journalist,"Journalist, frilans, bl a Året Runt, Idun, Vecko-Journalen",Yrke,{'comment': '1950-talet'},
669,CarolineGother,Företagare,"Bruksägare, förvaltnings- och bouppteckningsarbete, Kilafors bruk",Yrke,"{'comment': '1812', 'date': '1812'}","{'pin': {'lat': 61.2286, 'lon': 16.567099999999982}, 'place': 'Kilafors'}"
670,EvaGothlin,Universitetslektor,Lektor vid Institutionen för genusvetenskap,Yrke,"{'comment': '2004', 'date': '2004'}","{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
671,IngridEmelieGottfries,Skribent,"Släktforskare, skribent",Ideellt arbete,"{'comment': '1991', 'date': '1991'}","{'pin': {'lat': 55.70466, 'lon': 13.191007}, 'place': 'Lund'}"
672,IngaThyraCarolaGrafstrom,Affärsidkare,"Innehavare, Thyra Grafstöms Textilaffär AB",Yrke,"{'comment': '1922', 'date': '1922'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
673,JeanetteGranberg,Litteratör,,Yrke,,
674,LouiseGranberg,Författare,,Yrke,"{'comment': '1877', 'date': '1877'}",
675,AnnaAuroreLeonidaGrandien,Redaktör och förlagschef,"Ägare, Söderhamns Tidning tryckeri och bokbinderi",Yrke,"{'comment': '1913', 'date': '1913'}","{'pin': {'lat': 61.305576, 'lon': 17.06281}, 'place': 'Söderhamn'}"
676,IdaGranqvist,Sekreterare,"Anställd, Svenska kyrkans missionsexpedition",Yrke,"{'comment': '1929', 'date': '1929'}","{'pin': {'lat': 59.858564, 'lon': 17.638927}, 'place': 'Uppsala'}"
677,WilhelminaGravallius,Författare,,Yrke,"{'comment': '1833', 'date': '1833'}",
678,ElsaGrave,Konstnär,,Yrke,,
679,MariaMiaAmaliaGreen,Kommun- och landstingspolitiker,"Ledamot, Haparanda stadsfullmäktige, bl a vice ordförande för Haparanda stads fattigvårdsstyrelse",Ideellt arbete,"{'comment': '1919 – 1920, 1923'}","{'pin': {'lat': 65.841708, 'lon': 24.127664}, 'place': 'Haparanda'}"
680,EbbaMarianneGreenwood,Guide,Turistguide,Yrke,{'comment': '?'},"{'pin': {'lat': 43.58, 'lon': 7.12319}, 'place': 'Antibes, Frankrike'}"
681,GertrudGrenanderNyberg,Etnolog,Textilforskare,Yrke,,
682,GerdaJohanneHellandGrepp,Översättare,Översättare,Yrke,"{'comment': '1926', 'date': '1926'}",
683,MariaGripe,Författare,Författare,Yrke,"{'comment': '1954', 'date': '1954'}","{'pin': {'lat': 58.752844, 'lon': 17.009159}, 'place': 'Nyköping'}"
684,GunillaMikaelsdotterGrubb,Författare,Andlig sångförfattare,Yrke,{'comment': '1700-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
685,RutGrubb,Styrelseledamot,"Styrelseledamot, Kronobergs läns barnavårdsförbund, Växjö kommunala flickskola, ordförande, Växjö hälsovårdsnämnd m fl",Ideellt arbete,,
686,ViolaGrasten,Konstnärlig ledare,"Konstnärlig ledare, Mölnlycke Väfveri AB",Yrke,"{'comment': '1956', 'date': '1956'}","{'pin': {'lat': '57.658163', 'lon': '12.118993'}, 'place': 'Mölnlycke'}"
687,BrittaGrondahl,Lärare,"Högstadielärare, franska",Yrke,{'comment': '1960-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
688,AnnaGronfeldt,Kommun- och landstingspolitiker,"Ledamot, Västerbottens läns landstingsfullmäktige",Ideellt arbete,"{'comment': '1926', 'date': '1926'}","{'pin': {'lat': '63.825847', 'lon': '20.263035'}, 'place': 'Umeå'}"
689,ElsaGullberg0,Företagare,"Föreståndare, E. G. textil AB",Yrke,"{'comment': '1955', 'date': '1955'}","{'pin': {'lat': 59.403297, 'lon': 18.32638}, 'place': 'Vaxholm'}"
690,AbelaGullbransson,Författare,"Skribent av andliga sånger, med en omfattande själavårdskorrespondens",Ideellt arbete,{'comment': '?'},"{'pin': {'lat': '57.107118', 'lon': '12.252091'}, 'place': 'Varberg'}"
691,SofiaGumaelius,Företagare,"Företagare, maskinbyrådirektör",Yrke,"{'comment': '1883', 'date': '1883'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
692,IngierdGunnarsdotter,Sångare,Vissångare,Yrke,,"{'pin': {'lat': 58.800833, 'lon': 14.056389}, 'place': 'Höglunda'}"
693,GertrudGussander,Läkare,"Privatläkare, kommunläkare, grundare och föreståndare, Elfgårdens sjukhus",Yrke,"{'comment': '1911', 'date': '1911'}","{'pin': {'lat': 60.590983, 'lon': 15.070049}, 'place': 'Gagnef'}"
694,AnnaGustafson,Kommun- och landstingspolitiker,"Ledamot, Luleå stadsfullmäktige",Ideellt arbete,"{'comment': '1928', 'date': '1928'}","{'pin': {'lat': '65.584819', 'lon': '22.156703'}, 'place': 'Luleå'}"
695,RuthGustafsson,Riksdagsledamot,"Riksdagsledamot, andra kammaren, för Socialdemokratiska Arbetarepartiet",Yrke,"{'comment': '1932', 'date': '1932'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
696,SigneGustafsson,Musiker,Musiker,Yrke,,
697,MimmiGustafsson,Fotograf,"Fotograf, fr o m 1890 Kinell &amp; Co., senare Ateljé Mimmi Gustafsson",Yrke,"{'comment': '1889', 'date': '1889'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
698,EbbaGustavsdotterStenbock0,,,,,
699,MathildaBeatrixValerianaMariadellaTrinitaGyllenhaal,Socialt och filantropiskt arbete,"Filantropisk verksamhet, skolor för fattiga flickor, Ölanda och Stora Ekeby",Ideellt arbete,{'comment': '1840-talet'},
700,MagdalenaGyllenkrok,Socialt och filantropiskt arbete,"Mecenat, filantropiskt arbete, bl a fattigvård, skolverksamhet",Ideellt arbete,{'comment': '?'},"{'pin': {'lat': 55.70466, 'lon': 13.191007}, 'place': 'Lund'}"
701,MariaGustavaGyllenstierna,Översättare,,Yrke,,
702,JaneGylling,Lärare,Simlärare,Yrke,,
703,AnnaMargaretaKerstinGasste,Arkitekt,"Arkitekt, eget arkitektkontor",Yrke,"{'comment': '1979', 'date': '1979'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
704,IngridGardeWidemar,Riksdagsledamot,,Yrke,"{'comment': '1949', 'date': '1949'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
705,HanserKarolinaHanserLinaGoransson,Sångare,"Operasångare, fr o m 1941 frilansande konsertsångare",Yrke,"{'comment': '1939', 'date': '1939'}",
706,KjerstinGoranssonLjungman,Författare,,Yrke,,
707,HelgaGorlin,Lärare,"Lärare, Karlstads kommunala musikskola",Yrke,"{'comment': '1963', 'date': '1963'}","{'pin': {'lat': 59.402181, 'lon': 13.511498}, 'place': 'Karlstad'}"
708,AlmaHaag,Chef,"Föreståndare, klichéavdelningen, Dagens Nyheter",Yrke,,
709,LillyHafgren,Sångare,Operasångare,Yrke,"{'comment': '1902', 'date': '1902'}",
710,LouiseEuphrosyneHagberg,Författare,Författare,Yrke,{'comment': '1910-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
711,EllenHelgaLouiseHagen,Ordförande,"Ordförande, Gävle Folkkindergarten",Ideellt arbete,,"{'pin': {'lat': 60.67488, 'lon': 17.141273}, 'place': 'Gävle'}"
712,AgdaHaglund,Skribent,Skribent,Yrke,,
713,LindaHaglund,Konstnär,Konstnär,Yrke,,
714,SophieHagman,Dansare,"Balettdansös, figurantska, Kungliga Operan",Yrke,"{'comment': '1775', 'date': '1775'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
715,ZaidaHagman,Förbundssekreterare,"Ordförande, sekreterare, anställd organisatör, SKV:s kontor i Göteborg",Yrke,{'comment': '?'},"{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
716,VeraEbbaMatildaCharlottaKnutsdotterHaij,Konstnär,Keramiker,Yrke,"{'comment': '1936', 'date': '1936'}","{'pin': {'lat': 58.921944, 'lon': 12.313056}, 'place': 'Dals-Långed'}"
717,CorneliaHall0,Företagare,"Grosshandlare, handelsidkare",Yrke,"{'comment': '1748', 'date': '1748'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
718,MargitHall,Formgivare,"Möbelformgivare, inredningsarkitekt, Firma P A Eklund snickerifabrik",Yrke,"{'comment': '1928', 'date': '1928'}","{'pin': {'lat': 63.1537006, 'lon': 15.9765062}, 'place': 'Ragunda'}"
719,MathildaHall,Skolledare,"Skolgrundare, föreståndare",Yrke,"{'comment': '1857', 'date': '1857'}","{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
720,NellyHall,Handelsanställd,"Försäljare, skönhets- och hälsoprodukter, Nutriola Company",Yrke,,"{'pin': {'lat': '37.09024', 'lon': '-95.712891'}, 'place': 'USA'}"
721,BedaHallberg,,"Ledamot, Göteborgs pensionsnämnd",Ideellt arbete,{'comment': '1900-talet'},"{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
722,RuthHallden,Litteraturkritiker,"Litteraturkritiker, Svenska Dagbladet, Sydsvenska Dagbladet, Ord och Bild, Moderna Tider, författare",Yrke,,"{'pin': {'lat': 55.70466, 'lon': 13.191007}, 'place': 'Lund'}"
723,AgdaJosefinaHalldin,Polissyster,"Polissyster, Stockholms detektiva polisavdelning",Yrke,"{'comment': '1908', 'date': '1908'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
724,KerstinHallen,Översättare,Översättare,Yrke,{'comment': '1960-talet'},
725,BertaHallgren,Fotograf,Fotograf,Yrke,"{'comment': '1914', 'date': '1914'}","{'pin': {'lat': 60.730308, 'lon': 14.999892}, 'place': 'Leksand'}"
726,MargaretaHallin,Skådespelare,Skådespelare,Yrke,{'comment': '1990-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
727,BrittGHallqvist,Översättare,Översättare,Yrke,,
728,WilhelminavonHallwyl,Forskare,"Arbetsledare, katalogisering, utgrävning och restaurering, museiskapare, donator, Schloss Hallwyl",Ideellt arbete,"{'comment': '1910', 'date': '1910'}","{'pin': {'lat': 47.3253, 'lon': 8.207879999999932}, 'place': 'Seengen, Schweiz'}"
729,EthelHalvarsson,Textilkonstnär,"Textilkonstnär, frilans",Yrke,"{'comment': '1977', 'date': '1977'}",
730,MathildaHamilton,Företagare,"Företagare, grundare, The Swedish Ceylon Trading Agency",Yrke,"{'comment': '1920', 'date': '1920'}","{'pin': {'lat': '7.873053999999999', 'lon': '80.77179699999999'}, 'place': 'Sri Lanka'}"
731,AnnaCharlottaHamiltonGeete,Författare,Författare,Yrke,,
732,BirgittaHammar,Sekreterare,"Sekreterare, Grafiska institutet (GI) och Institutet för högre reklam- och kommunikationsutbildning (IHR)",Yrke,"{'comment': '1964', 'date': '1964'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
733,FreddaHammar,Tidskriftsredaktör,"Ansvarig, KFUK:s tidskrift Hemåt",Yrke,"{'comment': '1893', 'date': '1893'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
734,AmandaHammarlund,Chef,"Direktör, Svensk Läraretidnings Förlag",Yrke,"{'comment': '1910', 'date': '1910'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
735,ElsaSofiaHammarMoeschlin,Författare,Författare,Yrke,"{'comment': '1911', 'date': '1911'}",
736,AnnaHammarRosen,Tidskriftsredaktör,"Chefredaktör, ansvarig utgivare, skribent, Hwad nytt? Hwad nytt?",Yrke,"{'comment': '1773', 'date': '1773'}","{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
737,IngeborgHammarskjoldReiz,Arkitekt,"Arkitekt, stadsplanerare, t o m 1987 kommunalt anställd i Lund, t o m 1994 privat arkitektkontor",Yrke,"{'comment': '1937', 'date': '1937'}","{'pin': {'lat': 55.70466, 'lon': 13.191007}, 'place': 'Lund'}"
738,GretaHammarsten,Läkare,"Överläkare, förseståndare, kliniskt-kemiska centrallaboratoriet, Södersjukhuset",Yrke,"{'comment': '1945', 'date': '1945'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
739,IngridHammarstrom,Föreståndare,"Föreståndare, Stads- och kommunhistoriska institutet",Yrke,"{'comment': '1970', 'date': '1970'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
740,HannaHammarstrom,"Företagare, fabrikör","Fabrikör, tillverkare och leverantör av telefontråd, firma H. Hammarström",Yrke,{'comment': '1880-talet'},"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
741,LouiseHammarstrom,Företagare,"Kemist, bergskemist, eget laboratorium",Yrke,"{'comment': '1893', 'date': '1893'}","{'pin': {'lat': '59.87549', 'lon': '15.00051'}, 'place': 'Kopparberg'}"
742,JennyHamrin,Skolföreståndare,"Lärare, fr o m 1889 föreståndare, Umeå elementarläroverk för flickor",Yrke,"{'comment': '1883', 'date': '1883'}","{'pin': {'lat': 63.825847, 'lon': 20.263035}, 'place': 'Umeå'}"
743,RuthHamrinThorell,Styrelseledamot,"styrelseledamot, Fackskolan för huslig ekonomi",Ideellt arbete,,"{'pin': {'lat': 59.858564, 'lon': 17.638927}, 'place': 'Uppsala'}"
744,HelgaHansander,Sekreterare,"Administratör, Sociala byrån",Yrke,"{'comment': '1957', 'date': '1957'}","{'pin': {'lat': 63.825847, 'lon': 20.263035}, 'place': 'Umeå'}"
745,JuditHanson,Företagare,"Företagare, butiksinnehavare, Kinamagasinet",Yrke,"{'comment': '1919', 'date': '1919'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
746,AgnesViktoriaElinHansson,Fotograf,Amatörfotograf,Ideellt arbete,{'comment': '?'},
747,BertaHansson,Konstnär,,Yrke,"{'comment': '1945', 'date': '1945'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
748,ElnaHansson0,Läkare,"Läkekvinna, &quot;Lundakvinnan&quot;, benbrottsläkare",Yrke,"{'comment': '1834', 'date': '1834'}","{'pin': {'lat': '55.604981', 'lon': '13.003822'}, 'place': 'Malmö'}"
749,HelmyViolaHansson,"Arkivbiträde, folkminnesupptecknare",Insamlare av folkmusik,Ideellt arbete,,
750,MaudHansson,Skådespelare,"Skådespelare, frilans, Grekland och Sverige",Yrke,"{'comment': '1969', 'date': '1969'}",
751,ElviraMatildaHenriettaHarms,Socialt och filantropiskt arbete,Systugeverksamhet för krigsdrabbade och nödställda,Ideellt arbete,{'comment': 'Ca 1914'},
752,KarinHartman,Författare,Poet,Yrke,"{'comment': '1943', 'date': '1943'}",
753,EllenHartmanCederstrom,Skådespelare,"Skådespelare, Kungliga Dramatiska Teatern",Yrke,"{'comment': '1920', 'date': '1920'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
754,AnnaElisabetVilhelminaHasselbergOlsson,Textilkonstnär,Textilkonstnär,Yrke,"{'comment': '1964', 'date': '1964'}","{'pin': {'lat': 59.4419, 'lon': 18.07033}, 'place': 'Täby'}"
755,AnetteHasselgren,Konstnär,Konstnär,Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
756,JennyHasselquist,Lärare,"Balettpedagog, Jenny Hasselquists balettinstitut",Yrke,"{'comment': '1932', 'date': '1932'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
757,SigneHasso,Författare,"Författare, poet, textförfattare",Yrke,"{'comment': '1977', 'date': '1977'}",
758,AurorevonHaxthausen,Kompositör,"Kompositör, pianist, sångförfattare",Yrke,,
759,GunnelHazeliusBerg,Museitjänsteman,"Intendent, föreståndare, Skansens Klädkammare",Yrke,"{'comment': '1956', 'date': '1956'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
760,SigneHebbe,Lärare,"Teaterpedagog, Dramatens elevskola och privat, bl a sång, deklamation, plastik, rollinstudering",Yrke,"{'comment': '1871', 'date': '1871'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
761,WendelaHebbe,Översättare,Översättare,Yrke,"{'comment': '1841', 'date': '1841'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
762,EllaBerthaAmaliaHeckscher,Föreläsare,Föredragshållare,Ideellt arbete,"{'comment': '1938', 'date': '1938'}","{'pin': {'lat': 37.09024, 'lon': -95.712891}, 'place': 'USA'}"
763,LydiaHedberg,Sångare,"Vissångare, sångförfattare, komiker",Yrke,{'comment': '1920-talet'},
764,RuthIngarHedberg,Litteraturkritiker,"Kritiker, Svenska Dagbladet, Bonniers Litterära Magasin m fl",Yrke,"{'comment': '1948', 'date': '1948'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
765,WalborgHedberg,Bibliotekarie,Bibliotekarie vid Nordiska Kompaniets personalbibliotek,Yrke,,
766,GunnelBeritHedeby,Författare,Författare,Yrke,,
767,JohannaHeden,Barnmorska,"Barnmorska, privatpraktiserande stadsbarnmorska",Yrke,"{'comment': '1880', 'date': '1880'}","{'pin': {'lat': '57.70887', 'lon': '11.97456'}, 'place': 'Göteborg'}"
768,SonyaHedenbratt,Skådespelare,"Skådespelare, film och TV",Yrke,{'comment': '1960-talet'},
769,SolveigHedengran,Skådespelare,Skådespelare,Yrke,"{'comment': '1919', 'date': '1919'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
770,AlmaIsabelSofiaHedin,Kommun- och landstingspolitiker,"Ledamot, Stockholms stadsfullmäktige, för Allmänna valmansförbundet",Ideellt arbete,"{'comment': '1912', 'date': '1912'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
771,GretaHedin0,Lektor,"Lektor, modersmål och historia, Högre allmänna läroverket för flickor",Yrke,"{'comment': '1933', 'date': '1933'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
772,ZelmaHedin,Kompositör,Kompositör,Yrke,,
773,MathildaHedlund0,Tidskriftsredaktör,"Redaktör, Framåt",Yrke,"{'comment': '1886', 'date': '1886'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
774,AnnaJulieHeilborn,Uppfinnare,"Uppfinnare, transportabelt sportkök",Yrke,"{'comment': '1906', 'date': '1906'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
775,AuroraAmaliaEiraMariaHellberg,Tidskriftsredaktör,"Redaktör, Ur det okändas värld",Yrke,"{'comment': '1932', 'date': '1932'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
776,GerdaHellberg,Ledamot,"Ledamot, Lasarettsdirektionen",Ideellt arbete,,"{'pin': {'lat': 59.402181, 'lon': 13.511498}, 'place': 'Karlstad'}"
777,KarinSelmaTeklaHellstedt,Författare,Författare,Yrke,"{'comment': '1952', 'date': '1952'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
778,LillyHellstrom,Redaktör och förlagschef,Huvudansvarig redaktör och förlagschef för Folkskolans Barntidning,Yrke,"{'comment': '1924', 'date': '1924'}",
779,GunHellsvik,Domare,Domare i Försvarsunderrättelsedomstolen,Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
780,GretaHelms,Företagare,"Grundare och drivande kraft, Bokförlaget Rediviva Facsimileförlaget AB",Yrke,"{'comment': '1968', 'date': '1968'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
781,AmaliavonHelvig,Översättare,Översättare,Yrke,"{'comment': '1816', 'date': '1816'}",
782,ElliHemberg,"Skulptör, konstnär","Konstnär, skulptör",Yrke,"{'comment': '1922', 'date': '1922'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
783,EsterHenning,Försäljare,Försäljare av träslöjd,Yrke,,
784,EvaHenning0,Skådespelare,"Skådespelare, Folkteatern",Yrke,"{'comment': '1968', 'date': '1968'}","{'pin': {'lat': 57.70887, 'lon': 11.97456}, 'place': 'Göteborg'}"
785,BethHennings,Riksdagsledamot,"Riksdagsledamot, för Folkpartiet",Yrke,"{'comment': '1937', 'date': '1937'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
786,HelgaHenschen,Författare,"Författare, poet",Yrke,"{'comment': '1951', 'date': '1951'}",
787,HelenaMariaHenschen,Författare,Författare,Yrke,"{'comment': '1982', 'date': '1982'}",
788,SigneHenschen0,Tjänsteman,"Skilsmässomedlare, Stockholms kommun",Yrke,,"{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
789,IngegerdHenschenIngvar,Forskare,"Konsthistorisk forskare, redaktör och författare",Yrke,{'comment': '1920-talet'},
790,OlgaHerlin,Gravör,"Kartgravör, Generalstabens topografiska avdelning, Rikets allmänna kartverk",Yrke,"{'comment': '1889', 'date': '1889'}","{'pin': {'lat': 59.329323, 'lon': 18.068581}, 'place': 'Stockholm'}"
791,EsterHermansson,Universitetslektor,Metodiklektor,Yrke,"{'comment': '1967', 'date': '1967'}","{'pin': {'lat': '57.4567788', 'lon': '9.995763500000066'}, 'place': 'Hjörring, Danmark'}"
792,SophieHermansson,Föreståndare,"Grundare, föreståndare, Holmehus vårdhem (Vårdanstalt för nerv- och sinnessjuka fruntimmer)",Yrke,"{'comment': '1882', 'date': '1882'}","{'pin': {'lat': 55.604981, 'lon': 13.003822}, 'place': 'Malmö'}"
793,GunniHermelin,Ledamot,"Ledamot, Fattigvårdsstyrelsen i Nykil",Ideellt arbete,,"{'pin': {'lat': 58.410807, 'lon': 15.621373}, 'place': 'Linköping'}"
794,HonorineHermelin,Ansvarig utgivare,"Ansvarig utgivare, redaktör, skribent, Fogelstadförbundet",Yrke,"{'comment': '1944', 'date': '1944'}","{'pin': {'lat': '59.151918', 'lon': '16.092045'}, 'place': 'Julita'}"
795,ElisabetHermodsson,Kompositör,"Kompositör, tonsättare",Yrke,,
796,BirgitHerngard,Skolföreståndare,"Grundare och föreståndare, Umeå Skolköksseminarium",Yrke,"{'comment': '1948', 'date': '1948'}","{'pin': {'lat': 63.825847, 'lon': 20.263035}, 'place': 'Umeå'}"
